海克斯遗物 Flavor 清单

来源：assets/localization/zhs/relics.json
排序：hextech_relics_summary.txt 当前顺序
- 升级：旋风斩：风一旦成形，就会再转一圈。
- 升级：星尘：星光落下，余辉仍在掌心。
- 升级：陨星：星坠之前，天空先按下暂停。
- 升级：天际钻头：钻头转得越高，天空让得越开。
- 升级：护卫：忠诚也需要包扎。
- 升级：预借时间：这一次，利息被抹平了。
- 升级：苦难：苦难分不出去时，就只能向内加倍。
- 升级：挽歌：歌声落下，余音仍在。
- 升级：死者苏生：死亡越响，召唤越深。
- 升级：双重释放：释放不是终点，而是下一枚核心的回音。
- 升级：彩虹：颜色齐了，回路自然完整。
- 升级：迫降：赞助者物品：君从天降！！！
- 升级：电流相生：电流记得每一条走过的路。
- 升级：回响形态：回声到了第三遍，才像命令。
- 吸血鬼爬行者：咒文落地，还会爬回废堆。
- 金牌顾客：真正的优惠，门铃响起前已经到货。
- 开悟：复杂的代价忽然变得简单。
- 白洞：能量从不该出现的方向涌出。
- 蓄能：每一次出手，都把下一次推得更远。
- 自动巡逻：守卫路线写在骨头里。
- 死亡收割：第一滴血落下时，收割已经开始。
- 属性叠属性！：一层锻痕盖住另一层锻痕。
- 质变：棱彩阶：金色打开门，棱彩负责下注。

棱彩：
- 尤里卡：灵感不从天降，它从一堆零件里爬出来。
- 无限循环往复：重复足够久，奇迹便披上流程的外衣。
- 慢炖：火不必着急；锅里的东西已经没有选择。
- 巨人杀手：巨人太高，所以弱点总在膝盖以下。
- 巨像的勇气：勇气若够重，便可以直接穿在身上。
- 玻璃大炮：它碎得很响，响得也很值。
- 最终形态：最后形态从不急着登场。
- 回归基本功：花招会散，基本功留在手里。
- 亮出你的剑：出鞘那刻，退路也该一并斩断。
- 感受燃烧：药瓶碎地后，余温开始清账。
- 米凯尔的祝福：真正的祝福，连苦味的根都洗净。
- 大地苏醒：沉默的岩层翻了个身。
- 战争交响乐：鼓点起处，蛇影与恶魔同声。
- 不动如山：山不追逐胜利，胜利自己撞上山。
- ？？？：问号没有答案，只有下一次混乱。
- 科学怪人：线先接上，伦理委员会可以稍后再来。
- 珠光护手：光芒亮起时，侥幸也会被称作技巧。
- 尊我为王：王冠落下之前，台阶总要先垫上牺牲。
- 掷骰狂人：赞助者物品：骰子落地前，奖励已经在炉口等候。
- 秘术冲拳：咒文短到极致，就只剩拳风。
- 潘朵拉的盒子：盒子打开以后，旧标签全都失效。
- 踢踏舞：脚步踏准节拍，手牌跟着鼓掌。
- 炼狱导管：最好的导线，连地狱的热也能送到。
- 双刀流：两把刀若有一把闲着，便是浪费。
- 歌利亚巨人：高到某种程度，影子先替你压场。
- 物法皆修：刀锋不向咒文道歉，轮到谁就谁奏效。
- 男爵之手：赏赐落地，膝盖先于嘴巴表态。
- 你摸不到：你可以伸手。结果另算。
- 终极刷新：重来一次太慢；多来一次正好。
- 女王：命令一出口，迟疑就成了叛逆。
- 夺金：每次出手都该有响声，最好是金币的。
- 地狱三头犬：三张嘴同时咆哮，代价先躲到门外。
- 死亡之环：伤口绕成圆，下一刀就知道归路。
- 连拨击锤：扳机只扣一次，回声却不必守规矩。
- 精怪魔法：棘手咒语最懂礼貌，先偷走下一步。
- 当心小蛋糕：甜味只是诱饵，重点在盘底藏着什么。
- 蛋白粉奶昔：喝下去的是粉，站起来的是墙。
- 属性叠属性叠属性！：最后一锤落下，数字失去数字的模样。
- 金铲铲：它必须做点儿什么……错了，它什么都做得到！
- 精准认知：误差被剔除后，世界只剩下可计算的部分。
- 潦草急就：思路来得太急，字迹只好自己跟上。
- 小丑学院：课程表上写满了笑声，作业全是陷阱。
- 利刃华尔兹：舞步旋到终点，刀光谢幕。
- 奇点AI：它不预测未来；它把未来递到你手里。
- 扉八分钱：哦对了。
- 愈战愈勇：力量抬头，机会顺势松绑。
- 脚踏实地：站稳之后，盾牌找到生长的方向。
- 杀手猎人：真正的猎手先教猎物忘掉反击。
- 蛇牙：毒液先开路，短刃随后咬合。
- 爆炸艺术：美学的终点，是足够响亮的结尾。
- 星光璀璨：回合拖长，星河随之亮起。
- 悲惨命运：别人的命运下沉，你面前的阴影加厚。
- 为你而死：最后一次守护，可以改写成反击。
- 代偿：疼痛没有消失，只是换了名字。
- 不详契约：每一笔灾厄，都会替你多写一行契约。
- 歪打正着：故障偶尔也会拧出正确的电流。
- 苦楚：痛苦压低声音，削弱反而更深。
- 幽魂形态：身形淡去，伤口也无处落脚。
- 濒死狂宴：死亡近在席边，宴火烧得更旺。
- 解封王座：王座开口，星光奔流。
- 禁忌魔典：书页自行合拢，牌组随之缺了一角。
- 独木桥：桥面只够一个人站稳，其他人只能摇晃。
- 充能球相生：一个回路亮起，另一个开始呼吸。
- 核心过载：核心滚烫，计算却冷得清楚。
- 遗忘之魂：该离场的记忆，被符文按在原地。
- 神化：工坊火花不问排队顺序。
- 全能龙魂：六种回声同时咆哮，最终只留下你的选择。
- 你肩上的瓦库：肩头的声音很轻，落下的指令很重。
- 疯狂原始人：文明退场，石头自会找到轨道。
- 思维覆写：念头改写完毕，回声开始行动。
- 量子计算：答案还没出现，敌人的生命值已经开始坍缩。
- 心胜于物：念头锋利起来，现实自然让路。
- 达弗的陈酿：留在手里越久，酒香越会替你省钱。
- 九龙之力：每一瓶药都唤醒一条龙。
- 水獭和朋友们：赞助者物品：朋友们排好队，把好事逐个递来。
- 特兹卡塔拉的慈爱：慈爱柔软，也会滴落。
- 飞身踢：高高跃起，然后一脚定音。
- 变卖：丢掉之前，先榨出最后一点价值。
- 升级：华丽收场：压轴无需空场，掌声会自己让路。
- 升级：群蛇形态：抽牌声里也藏着蛇影。
- 极限速度：快到身体追不上意志。
- 升级：崇拜：光被献上，又照回掌心。
- 固态时间：赞助者物品：时间凝住，旧咒每战回声。
- 逆命回响：赞助者物品：命运偶尔回头，账本从不合上。
- 重铸战盔：旧盔重铸，怒吼也多了一层回声。
- 最万用的瞄准镜：准星几乎替你扣下扳机。
- 面包三明治：人们大声要求更多的配料，而你却低声说“不”。
- 双重存在：另一个你也在推进回合。
- 衰败：虚弱先开一道缝，力量便从缝里漏出去。
- 大号匕首：刀变大后，规矩也该跟着让位。
- 三棱镜：一束光，三次折返。
- 空白支票：金额留空，代价写在背面。
- 质变：混沌：把混沌装进账本，秩序才算真正开始。
- 复视：赞助者物品：爱来自家庭美满爱笑小光头。

敌方海克斯：

白银：
- 急救用具：绷带不信奇迹，手快就是答案。
- 扇巴掌：先给一记耳光，再让羞辱慢慢生根。
- 速度恶魔：先动起来的人，连机会都追在身后。
- 逃跑计划：最可靠的撤退，开战前便已写好。
- 重量级打击手：体重只是数字，落地声写出答案。
- 大力：有些问题，确实可以大力解决。
- 折磨者：疼痛会离开；折磨会留下。
- 防护面纱：真正的面纱，是让诅咒以为自己已经命中。
- 退敌力场：墙角并非尽头，力场尚未启动。
- 荆棘之甲：碰上来之前，它看起来只是一副盔甲。
- 点亮他们！：第四次挥击时，火花会替你再说一遍。
- 山脉龙魂：山从不闪避，它只是等待你先碎裂。
- 冰霜幽灵：寒意沿脚踝攀升，步步都像遗言。
- 歃血：血滴落下，誓言开始计数。
- 启动流程：流程走完之前，伤口最好先在门外排队。
- 转的我眩晕了：牌面被转速揉成一团。
- 残暴之力：够快，够重，够不讲理。
- 狂热者：遗物攒多后，开局心跳吵成鼓点。
- 快中求稳：快到极处，更该给失误留壳。

黄金：
- 坚韧：裂缝不是终点，它证明还有东西撑着。
- 黎明使者的坚决：黎明不会早到，总有人替你撑到那时。
- 缩小射线：尺寸开始谈判时，尊严跟着缩水。
- 火上浇油：火势太小的时候，道德感最碍事。
- 超强大脑：聪明堆到尽头，脑壳长成盾牌。
- 夜狩：夜色不帮善人，只帮还没出手的人。
- 星界躯体：星辰借出躯壳，重量随之落下。
- 坦克引擎：轰鸣沉进骨头，停下反而成了奢望。
- 缩小引擎：缩小之后，速度把计划甩在身后。
- 罪恶快感：快乐若要有分量，最好晚一拍兑现。
- 接二连三：第一下试探，第二下确认，第三下定案。
- 循环往复：把今天调成昨天的样子，能省下许多祈祷。
- 仆从大师：亲力亲为，是管理失败的证据。
- 尖端炼药师：烧杯颜色危险，标签顿时显得体面。
- 神圣干预：奇迹少作解释，致命的一寸被悄悄挪开。
- 魔鬼之舞：步伐贴着刀刃，血热得像鼓点。
- 咏叹奏鸣：一拍催行，一拍止血，乐章刚好够长。
- 不朽骨：骨头记得回来的路。
- 大限将至：终点并不突然，它只是每天准时靠近一点。
- 狂徒豪气：伤口还没合上，铠甲已经长出下一层。
- 血铠：每一道裂口，都会补上一片铁。
- 潘金莲的盒子：盒盖一响，旧日的廉价牌名全都散去。
- 镜中倒影：镜子没有偏见，乏味的影子被留在外面。
- 蓝烛药箱：烛火照亮伤口，诅咒封口一并显形。
- 坦克斯之盾：盾牌不劝你停下，它替你撞得更久。
- 惊逃：恐惧先动手，理智迟到。
- 古式佳酿：老酒不治伤，偏能让血继续热。
- 豪猪：别碰。它已经把礼貌写成了刺。
- 王之凝视：王不需要呵斥，目光已经足够沉重。
- 欧米伽：倒数结束后，只剩终章。
- 操控现实：现实只是还没定稿的草稿。

棱彩：
- 巨像的勇气：勇气若够重，便可以直接穿在身上。
- 玻璃大炮：它碎得很响，响得也很值。
- 歌利亚巨人：高到某种程度，影子先替你压场。
- 女王：命令一出口，迟疑就成了叛逆。
- 男爵之手：赏赐落地，膝盖先于嘴巴表态。
- 你摸不到：你可以伸手。结果另算。
- 物法皆修：刀锋不向咒文道歉，轮到谁就谁奏效。
- 夺金：每次出手都该有响声，最好是金币的。
- 感受燃烧：药瓶碎地后，余温开始清账。
- 回归基本功：花招会散，基本功留在手里。
- 科学怪人：线先接上，伦理委员会可以稍后再来。
- 精怪魔法：棘手咒语最懂礼貌，先偷走下一步。
- 最终形态：最后形态从不急着登场。
- 不动如山：山不追逐胜利；胜利自己撞上山。
- 米凯尔的祝福：真正的祝福，连苦味的根都洗净。
- 小丑学院：课程表上写满了笑声，作业全是陷阱。
- 奇点AI：它不预测未来；它把未来递到你手里。
- 蛋白粉奶昔：喝下去的是粉，站起来的是墙。
- 金铲铲：它不只挖出机会，也顺手把机会锻亮。
- 尊我为王：王冠落下之前，台阶总要先垫上牺牲。
- 扉八分钱：哦对了。
- 达弗的陈酿：留在手里越久，酒香越会替你省钱。
- 潦草急就：思路来得太急，字迹只好自己跟上。
- 苦楚：痛苦压低声音，削弱反而更深。
- 你肩上的瓦库：肩头的声音很轻，落下的指令很重。
- 神化：工坊火花不问排队顺序。
- 濒死狂宴：死亡近在席边，宴火烧得更旺。
- 幽魂形态：身形淡去，伤口也无处落脚。
- 蛇牙：毒液先开路，短刃随后咬合。
- 潘朵拉的盒子：盒子打开以后，旧标签全都失效。
- 禁忌魔典：书页自行合拢，牌组随之缺了一角。
- 特兹卡塔拉的慈爱：慈爱柔软，也会滴落。
- 秘术冲拳：咒文短到极致，就只剩拳风。
- 战争交响乐：鼓点起处，蛇影与恶魔同声。
- ？？？：问号没有答案，只有下一次混乱。
- 心胜于物：念头锋利起来，现实自然让路。
- 全能龙魂：六种回声同时咆哮，最终只留下你的选择。
- 空白支票：金额留空，代价写在背面。

属性锻造器：

白银：
- 力量锻造器：一枚钉子，钉住出拳的重量。
- 敏捷锻造器：把迟疑锻薄，动作自然就快了。
- 覆甲锻造器：薄甲先行，替胆怯挡住第一声响。
- 升级锻造器：一锤足够让旧招式想起新用途。
- 生命锻造器：把伤疤扩成容量。
- 口袋锻造器：炉火替你多缝一只口袋，好装下意外的解药。
- 预备锻造器：真正的准备，是在开战前多握一张答案。
- 迅速锻造器：一张牌被淬得更轻，出手快人半拍。
- 礼花锻造器：开战的第一簇火星，先替全场点亮。
- 活力锻造器：炉膛余温没散，下一拳便带着热劲。
- 格挡锻造器：每回合先递上一小片薄盾。
- 亡灵锻造器：炉火里传出的不是锤声，而是脚步声。
- 辉星锻造器：先把开局的光握稳，王权才不会迟到。
- 球球锻造器：炉心转了一圈，吐出一个不太听话的答案。
- 铸造锻造器：炉火不打兵器，只把锻打本身递到你手里。

黄金：
- 体质锻造器：筋骨与步伐在同一炉火里成形。
- 灾祸锻造器：第一声锤响，先替敌人敲出裂痕。
- 生命锻造器：伤疤被扩成更宽的河床。
- 集中锻造器：两道杂音被同一锤声压平。
- 抽牌锻造器：给命运再开一道抽屉。
- 恢复锻造器：炉灰里埋着微火，一点点焐热伤口。
- 沙漏锻造器：每一粒落沙，都砸向对面的影子。
- 升级锻造器：三声锤响之后，牌组里多了几处锋芒。
- 华彩锻造器：一层华光落下，平凡牌面也会亮到刺眼。
- 动量锻造器：把一张牌推上坡，它便自己滚出势头。
- 召唤锻造器：炉门半掩，每回合都有新影子探头。
- 血肉锻造器：炉火把血肉重新捏过，疼痛成了可塑之物。
- 余烬锻造器：把一缕将熄的炭火，封进牌面里继续烧。
- 辉星锻造器：把王权锻成能被握住的光。
- 鸡煲锻造器：多开的槽位，总会等来雷光。
- 覆甲锻造器：把谨慎锻成一层不会退后的甲。
- 荆棘锻造器：每一根倒刺都记着来路。
- 人工锻造器：一层看不见的保险，被敲进灵魂外壳。
- 毒液锻造器：刃口淬过的不是钢，是慢慢渗开的绿。
- 缩小锻造器：一锤砸下，敌人的气焰先矮了一截。
- 基础锻造器：朴素炉火不挑材料，只问爪锋还是汤香。（赞助者拓展包）
- 附魔锻造器：炉火不挑牌面，攻、技、能各得其魔。（赞助者拓展包）

棱彩：
- 生命锻造器：炉火不再扩容，而是重写容器本身。
- 攻击锻造器：锋刃不求更长，落点却更准。
- 防护锻造器：炉火替伤口和盾牌都留了余量。
- 能量锻造器：炉火不熄，下一步就不会空转。
- 仪式锻造器：火光围成圆，力量就知道该往哪走。
- 再生锻造器：肉身会忘记疼痛的形状。
- 缓冲锻造器：命运先撞到它，再轮到你。
- 滑溜锻造器：让危险握不住你。
- 人工锻造器：两层保险，把最坏的意外挡在门外。
- 集中锻造器：嘈杂被熔尽，只留两道笔直的方向。
- 财运锻造器：炉灰里落下的，全是亮闪闪的答案。
- 涡旋锻造器：把一张牌投进回环里，它会带着第二次回声回来。
- 虚空锻造器：炉心塌成一点黑，连光都绕着它走。
- 奥术锻造器：三枚咒印悬在牌面上，等你点下真正的名字。（赞助者拓展包）
- 进化锻造器：一张牌被火舌舔过，便不肯停在原样。（赞助者拓展包）
- 秘术锻造器：同一炉火，替攻、技、能各点一道暗纹。（赞助者拓展包）

商店：
- 随机属性锻造器：炉口常开，下一枚金币落下便有回声。

事件遗物：
- 金星：赞助者物品：胜利的星光，照向下一份奖赏。

总计：玩家海克斯 321 个（可选 297 个）；敌方海克斯 88 个（可选 88 个）；属性锻造器 53 个（本体 48 + 赞助者拓展包 5；白银 15、黄金 22、棱彩 16）；商店锻造器 1 个。
